Fitness:,-6.341348171234131,0.1,0.002,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,206.0,-155.0,957.06,957.06
Fitness:,-3.798283100128174,0.1,0.005,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,201.0,-243.0,957.06,957.06
Fitness:,-20.0,0.1,0.168,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,191.0,-291.0,957.06,957.06
Fitness:,-20.0,0.1,0.251,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,191.0,-56.0,957.06,957.06
Fitness:,-20.0,0.1,0.334,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,206.0,-207.0,957.06,957.06
Fitness:,-20.0,0.1,0.417,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,205.0,-198.0,957.06,957.06
Fitness:,-20.0,0.1,0.5,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,200.0,-175.0,957.06,957.06
Fitness:,-7.107337951660156,0.3333,0.002,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,190.0,-150.0,957.06,957.06
Fitness:,-3.495283842086792,0.3333,0.005,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,210.0,-219.0,957.06,957.06
Fitness:,-11.918159484863281,0.3333,0.168,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,210.0,-181.0,957.06,957.06
Fitness:,-13.274709701538086,0.3333,0.251,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,210.0,-276.0,957.06,957.06
Fitness:,-13.268939018249512,0.3333,0.334,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,210.0,-128.0,957.06,957.06
Fitness:,-13.269356727600098,0.3333,0.417,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,210.0,-289.0,957.06,957.06
Fitness:,-20.0,0.3333,0.5,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,204.0,-38.0,957.06,957.06
Fitness:,-7.34871244430542,0.62,0.002,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,190.0,-185.0,957.06,957.06
Fitness:,-2.907548427581787,0.62,0.005,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,210.0,-270.0,957.06,957.06
Fitness:,-3.3245785236358643,0.62,0.168,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,191.0,-50.0,957.06,957.06
Fitness:,-3.370866298675537,0.62,0.251,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,194.0,-280.0,957.06,957.06
Fitness:,-9.357813835144043,0.62,0.334,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,193.0,-161.0,957.06,957.06
Fitness:,-3.594132423400879,0.62,0.417,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,208.0,-247.0,957.06,957.06
Fitness:,-9.362452507019043,0.62,0.5,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,195.0,-192.0,957.06,957.06
Fitness:,-7.383285045623779,1.0,0.002,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,190.0,-300.0,957.06,957.06
Fitness:,-3.0527806282043457,1.0,0.005,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,207.0,-300.0,957.06,957.06
Fitness:,-3.4955575466156006,1.0,0.168,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,196.0,-76.0,957.06,957.06
Fitness:,-10.77763843536377,1.0,0.251,11.69,3.0,118.0,-58.53,15.01,9.01,70.01,190.0,-231.0,957.06,957.06
